Informazioni cronologiche;Sesso;Età;Provincia di residenza;Titolo di studio;A quale canale appartiene il tuo supermercato di fiducia?;Con quale frequenza ti rechi a fare la spesa?;Avevi già sentito parlare di Responsabilità Sociale d’Impresa?;Che cos’è secondo te un’azienda socialmente responsabile?;Secondo te quali di queste dovrebbe essere la responsabilità primaria di un’impresa:;Secondo te le imprese che seguono le politiche di RSI lo fanno perché:;Sceglieresti comunque un supermercato dove fare la tua spesa sapendo che esso non sostiene alcuna causa sociale?;Sei a conoscenza di iniziative a sostegno di cause sociali intraprese dal tuo supermercato di fiducia?;Essere a conoscenza di tali iniziative rappresenta un incentivo nella scelta di un supermercato rispetto ad altri concorrenti?;Secondo te il tuo supermercato di fiducia comunica adeguatamente le sue attività a sostegno di cause sociali?;Saresti interessato a saperne di più sulla RSI dell’azienda che gestisce il tuo supermercato di fiducia?;Secondo te il tuo supermercato di fiducia può essere definito un’impresa socialmente responsabile?;Se hai risposto Sì alla domanda precedente, indica una motivazione:;Se invece hai risposto No, indica una motivazione:;Quale azione dovrebbe intraprendere il tuo supermercato di fiducia per migliorare le sue attività di responsabilità sociale?;Qual è secondo te lo strumento più utile per la comunicazione di pratiche di RSI, soprattutto per farle conoscere al consumatore?
11/2/2017 16:40:56;Maschio;36-50;Catania;Diploma superiore;ARD;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, abbastanza;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/2/2017 16:41:03;Maschio;25-35;Catania;Laurea triennale;ARD;Tutti i giorni;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Ci credono veramente;No, anche se ne avessi necessità;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, non in modo sufficiente;Sì, molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Organizzare un maggior numero di iniziative legate a cause sociali;Report su sito web
11/2/2017 16:42:40;Maschio;25-35;Catania;Laurea magistrale;ARD;Una volta a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Rispetto per l’ambiente;Ci credono veramente;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Non saprei;No, non in modo sufficiente;Sì, molto;Non saprei;;Mancanza di iniziative sul tema della difesa dell’ambiente;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/2/2017 16:43:43;Maschio;36-50;Catania;Diploma superiore;ARD;Tutti i giorni;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Non saprei;No, per niente;Sì, molto;Non saprei;;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/2/2017 16:45:10;Maschio;36-50;Catania;Laurea triennale;ARD;Una volta a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;No, anche se ne avessi necessità;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, per niente;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Bilancio sociale
11/2/2017 16:44:32;Maschio;Over 50;Catania;Licenza media;Famila;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Ci credono veramente;No, anche se ne avessi necessità;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Non saprei;No, non in modo sufficiente;Sì, abbastanza;Non saprei;;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Report su sito web
11/2/2017 16:45:17;Maschio;36-50;Catania;Diploma superiore;ARD;Tre volte a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Rispetto per l’ambiente;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, abbastanza;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/2/2017 16:45:49;Maschio;25-35;Catania;Diploma superiore;ARD;Tutti i giorni;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, decisamente;Sì, molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Coinvolgere maggiormente il cliente nelle attività di beneficienza;Pubblicità
11/2/2017 16:47:57;Maschio;Over 50;Catania;Diploma superiore;ARD;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, non in modo sufficiente;Sì, abbastanza;Non saprei;;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/2/2017 16:48:24;Maschio;25-35;Catania;Diploma superiore;ARD;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, abbastanza;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit;;Organizzare un maggior numero di iniziative legate a cause sociali;Pubblicità
11/2/2017 16:48:25;Maschio;36-50;Catania;Diploma superiore;Famila;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, abbastanza;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/2/2017 16:48:37;Maschio;25-35;Catania;Diploma superiore;ARD;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Non saprei;No, per niente;No, non mi interessa molto;Non saprei;;Poca trasparenza circa le attività sostenibili intraprese;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/2/2017 16:49:01;Femmina;36-50;Catania;Diploma superiore;ARD;Tutti i giorni;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Rispetto per l’ambiente;Ci credono veramente;No, mai;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, abbastanza;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;Attenzione e cura del rapporto con il cliente;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/2/2017 16:51:05;Maschio;36-50;Catania;Licenza media;ARD;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;Sì, abbastanza;Non saprei;Promozione di iniziative a tutela dell’ambiente;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/2/2017 16:54:50;Maschio;36-50;Catania;Diploma superiore;ARD;Tutti i giorni;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Ci credono veramente;No, mai;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, decisamente;Sì, molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;Appoggio scarso o del tutto mancante ad enti no profit;Organizzare un maggior numero di iniziative legate a cause sociali;Codice etico
11/2/2017 16:55:06;Maschio;36-50;Catania;Diploma superiore;ARD;Tre volte a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, abbastanza;Sì, molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;Attenzione e cura del rapporto con il cliente;;Organizzare un maggior numero di iniziative legate a cause sociali;Pubblicità
11/2/2017 16:56:48;Maschio;25-35;Catania;Diploma superiore;Famila;Tutti i giorni;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;No, anche se ne avessi necessità;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, abbastanza;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Report su sito web
11/2/2017 16:58:02;Maschio;Over 50;Catania;Diploma superiore;A&O;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Solo per un ritorno di immagine, quindi per profitto;No, anche se ne avessi necessità;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, abbastanza;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;Attenzione e cura del rapporto con il cliente;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Codice etico
11/2/2017 16:58:48;Maschio;36-50;Catania;Diploma superiore;ARD;Tre volte a settimana;No;Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa;Controllo dei prodotti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, abbastanza;No, non mi interessa molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;I prodotti rispettano sempre gli standard di qualità e sostenibilità;;Promuovere iniziative a tutela dell’ambiente;Pubblicità
11/2/2017 17:03:09;Maschio;36-50;Messina;Licenza media;Famila;Quando necessito;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, decisamente;No, non mi interessa molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;Attenzione e cura del rapporto con il cliente;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/2/2017 17:07:47;Femmina;25-35;Catania;Laurea triennale;ARD;Tre volte a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Ci credono veramente;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;Non saprei;No, per niente;Sì, molto;Non saprei;;Poca trasparenza circa le attività sostenibili intraprese;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/2/2017 17:11:21;Maschio;25-35;Catania;Licenza media;ARD;Tutti i giorni;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;Sì, molto;Non saprei;;;Organizzare un maggior numero di iniziative legate a cause sociali;Bilancio sociale
11/2/2017 17:13:33;Maschio;Over 50;Catania;Diploma superiore;ARD;Una volta a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, abbastanza;No, non mi interessa molto;Non saprei;;;Promuovere iniziative a tutela dell’ambiente;Pubblicità
11/2/2017 17:23:10;Maschio;36-50;Catania;Diploma superiore;ARD;Tutti i giorni;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, abbastanza;Sì, abbastanza;Non saprei;;;Organizzare un maggior numero di iniziative legate a cause sociali;Pubblicità
11/2/2017 17:24:31;Maschio;36-50;Catania;Diploma superiore;ARD;Tre volte a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, decisamente;Sì, molto;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;Attenzione e cura del rapporto con il cliente;;Organizzare un maggior numero di iniziative legate a cause sociali;Report su sito web
11/2/2017 17:25:32;Maschio;Over 50;Catania;Diploma superiore;Famila;Tre volte a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;No, non in modo sufficiente;Sì, molto;Non saprei;;;Coinvolgere maggiormente il cliente nelle attività di beneficienza;Report su sito web
11/2/2017 17:26:42;Maschio;36-50;Catania;Diploma superiore;Famila;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Rispetto per l’ambiente;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;No, non mi interessa molto;Non saprei;;;Coinvolgere maggiormente il cliente nelle attività di beneficienza;Pubblicità
11/2/2017 17:32:36;Maschio;Over 50;Catania;Laurea magistrale;Iperfamila;Tre volte a settimana;Sì;Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa;Rispetto per l’ambiente;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;Sì, cerco sempre di abbinare le mie esigenze con queste iniziative;Sì, decisamente;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;Attenzione e cura del rapporto con il cliente;;Promuovere iniziative a tutela dell’ambiente;Pubblicità
11/2/2017 17:37:25;Maschio;25-35;Catania;Diploma superiore;;Una volta a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Ci credono veramente;Sì, se non avessi alternative valide;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, decisamente;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit;;Coinvolgere maggiormente il cliente nelle attività di beneficienza;Pubblicità
11/2/2017 17:38:05;Maschio;36-50;Catania;Diploma superiore;Discount;Tre volte a settimana;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Ci credono veramente;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, per niente;Sì, abbastanza;Non saprei;;;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Pubblicità
11/2/2017 17:41:16;Maschio;36-50;Catania;Diploma superiore;Discount;Tutti i giorni;No;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Controllo dei prodotti;Solo per un ritorno di immagine, quindi per profitto;No, anche se ne avessi necessità;Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);Sì, decisamente;Sì, abbastanza;Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale;Attenzione e cura del rapporto con il cliente;;Organizzare un maggior numero di iniziative legate a cause sociali;Report su sito web
11/2/2017 17:49:31;Maschio;36-50;Catania;Diploma superiore;Supermercato;Tre volte a settimana;Sì;Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente;Trattamento equo dei dipendenti;Solo per un ritorno di immagine, quindi per profitto;Sì, se non avessi alternative valide;No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda;No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.);No, non in modo sufficiente;Sì, abbastanza;No, le attività che intraprende sono poche o del tutto mancanti;;Poca trasparenza circa le attività sostenibili intraprese;Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese;Mailing list con divulgazione delle azioni intraprese
